epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
61,147461,1.12577,0.98139,1.08926,0.40705,0.42237,0.3715,0.25891,1.26406,1.36152,1.35038,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
62,149833,1.10804,0.98648,1.07798,0.41468,0.41743,0.37232,0.25979,1.26358,1.36266,1.34977,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805
63,152200,1.10337,0.97927,1.08849,0.413,0.42053,0.37211,0.25961,1.26321,1.36669,1.34963,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
64,154579,1.10428,0.96431,1.08314,0.40575,0.42948,0.37275,0.25994,1.26273,1.36832,1.34973,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815
65,157033,1.10219,0.94787,1.08182,0.40907,0.42748,0.37342,0.26065,1.26434,1.36956,1.35175,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
66,159470,1.10285,0.95235,1.07714,0.41571,0.41906,0.37346,0.26072,1.26435,1.37136,1.35198,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825
67,161919,1.0882,0.93735,1.07736,0.4196,0.41861,0.37344,0.26086,1.26399,1.37175,1.35233,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
68,164362,1.08226,0.93274,1.07164,0.40308,0.4304,0.37265,0.26086,1.26458,1.37468,1.35355,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835
69,166773,1.07786,0.94069,1.0726,0.40705,0.42843,0.37276,0.26087,1.26514,1.37692,1.35439,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
70,169265,1.08133,0.93491,1.07589,0.40718,0.42354,0.37335,0.2612,1.26579,1.37763,1.35525,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845
