epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
50,55158.2,1.3009,1.40747,1.18381,0.35848,0.35766,0.29311,0.19748,1.33836,1.53921,1.35058,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745
51,56126.5,1.29921,1.39736,1.18355,0.36015,0.35626,0.29336,0.19798,1.3381,1.53829,1.3501,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
52,57093.8,1.29748,1.40448,1.18871,0.36097,0.35478,0.29399,0.19855,1.33769,1.53698,1.34942,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755
53,58074.7,1.29341,1.38473,1.18131,0.36249,0.35434,0.2945,0.19897,1.33693,1.53563,1.34879,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
54,59061.5,1.29103,1.37464,1.17808,0.3625,0.35497,0.29537,0.19947,1.33647,1.53462,1.34834,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765
55,60043.6,1.29521,1.37807,1.18056,0.36151,0.35632,0.29562,0.19977,1.33606,1.53351,1.34791,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
56,61026,1.28488,1.37991,1.17774,0.36333,0.35913,0.29619,0.20016,1.33601,1.53367,1.34789,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775
57,62011.7,1.28588,1.37386,1.17866,0.36369,0.35811,0.29639,0.20036,1.33558,1.5331,1.34745,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
58,62993.5,1.28578,1.37419,1.17824,0.36507,0.35769,0.29691,0.20062,1.33566,1.53234,1.34737,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785
59,63992,1.28625,1.37103,1.17965,0.36229,0.35982,0.29772,0.20118,1.3356,1.5315,1.34714,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
60,64979.2,1.28318,1.35579,1.17046,0.37711,0.36083,0.29862,0.20198,1.33551,1.53041,1.34709,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795
61,65943.5,1.28338,1.35623,1.17595,0.37879,0.36157,0.29926,0.20236,1.33596,1.52947,1.3474,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
62,66929,1.28095,1.36167,1.17697,0.38165,0.362,0.29978,0.20271,1.33571,1.52873,1.34714,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805
63,67918.7,1.27308,1.34674,1.17186,0.37698,0.36282,0.29981,0.20272,1.33533,1.52786,1.34694,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
64,68911.3,1.27698,1.35113,1.17569,0.37749,0.35946,0.29972,0.2029,1.33481,1.52732,1.34665,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815
65,69938.9,1.27969,1.35303,1.16654,0.37466,0.36058,0.29997,0.20311,1.33493,1.52661,1.3465,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
66,70994,1.27937,1.35666,1.17254,0.37468,0.36256,0.30115,0.20399,1.33452,1.52585,1.34599,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825
67,72049.2,1.2698,1.3456,1.16669,0.37379,0.3632,0.30089,0.20396,1.33447,1.52561,1.34571,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
