epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
63,20986.7,1.07704,0.89927,0.91664,0.43756,0.4291,0.37928,0.27043,1.2221,1.33452,1.0393,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
64,21320.4,1.04834,0.8671,0.91978,0.4043,0.40754,0.36263,0.25832,1.22417,1.37483,1.03745,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815
65,21644.9,1.06581,0.84979,0.91022,0.42464,0.40781,0.3671,0.26123,1.22796,1.37034,1.03714,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
66,21977.1,1.05863,0.87822,0.9268,0.41261,0.41482,0.36642,0.26248,1.22164,1.36921,1.03146,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825
67,22304.9,1.05551,0.85316,0.91758,0.43181,0.39917,0.36381,0.26,1.22295,1.38021,1.03448,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
68,22629.3,1.01198,0.84604,0.92489,0.42716,0.39951,0.36946,0.26473,1.22079,1.37747,1.03268,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835
69,22953.8,1.06472,0.84685,0.91312,0.43039,0.40544,0.37155,0.26745,1.21469,1.34807,1.03286,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
70,23288.5,1.04251,0.83576,0.91062,0.41518,0.4082,0.35794,0.25439,1.22089,1.36563,1.0397,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845
71,23625.9,1.02295,0.80409,0.9239,0.41492,0.41212,0.37327,0.26452,1.22418,1.3747,1.03749,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
72,23959.6,1.04308,0.82417,0.91248,0.42696,0.42225,0.37807,0.27083,1.22179,1.36278,1.03347,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855
73,24299.3,1.03354,0.81348,0.91132,0.41954,0.39914,0.36656,0.26182,1.22513,1.39378,1.03222,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
74,24630.2,1.01044,0.80856,0.91225,0.42632,0.41135,0.37439,0.26526,1.22352,1.38523,1.04179,0.0191595,0.0063865,0.0191595,0.0063865,0.0191595,0.0063865,0.0191595,0.0063865
75,24956.3,1.0079,0.79614,0.9136,0.4244,0.42345,0.38122,0.27037,1.22153,1.36058,1.03768,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
76,25286.8,0.99602,0.77687,0.90713,0.42992,0.41118,0.38005,0.27,1.21719,1.38258,1.03574,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875
77,25615.7,0.98998,0.78004,0.90635,0.42197,0.42428,0.37384,0.26754,1.22167,1.39595,1.03573,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
78,25940.1,1.01915,0.78349,0.90618,0.44724,0.40529,0.38129,0.27166,1.21481,1.37792,1.03563,0.0185655,0.0061885,0.0185655,0.0061885,0.0185655,0.0061885,0.0185655,0.0061885
79,26273.7,1.01023,0.78681,0.90428,0.42944,0.41858,0.38262,0.27349,1.22112,1.37927,1.03954,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
80,26609.5,1.02168,0.78734,0.90822,0.44709,0.40945,0.37872,0.27271,1.2205,1.39008,1.03707,0.0182685,0.0060895,0.0182685,0.0060895,0.0182685,0.0060895,0.0182685,0.0060895
81,26941,0.99465,0.74859,0.90277,0.44692,0.41206,0.37901,0.27099,1.21908,1.38149,1.03731,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
82,27268.6,1.00038,0.78466,0.91357,0.42594,0.4118,0.37449,0.26776,1.2204,1.3998,1.03497,0.0179715,0.0059905,0.0179715,0.0059905,0.0179715,0.0059905,0.0179715,0.0059905
83,27595.6,1.01151,0.76386,0.90705,0.44861,0.40365,0.37554,0.26919,1.22123,1.40732,1.03781,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
84,27920.9,0.97002,0.74114,0.89905,0.4442,0.42041,0.38482,0.27482,1.21896,1.38654,1.03744,0.0176745,0.0058915,0.0176745,0.0058915,0.0176745,0.0058915,0.0176745,0.0058915
85,28250.9,0.9628,0.73115,0.89952,0.45409,0.39944,0.38108,0.27239,1.22244,1.40349,1.04288,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
86,28580.5,1.01003,0.77133,0.90029,0.43213,0.4053,0.37304,0.26522,1.22267,1.40412,1.03898,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925
87,28903.2,0.9652,0.73365,0.89707,0.42825,0.41261,0.37482,0.26985,1.22367,1.41245,1.03905,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
88,29232.8,0.98753,0.74011,0.88788,0.45285,0.40361,0.37891,0.27205,1.21958,1.39422,1.03973,0.0170805,0.0056935,0.0170805,0.0056935,0.0170805,0.0056935,0.0170805,0.0056935
89,29555.6,0.97016,0.72412,0.89074,0.4197,0.42595,0.38381,0.27662,1.21891,1.38786,1.04005,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
90,29887.5,0.97787,0.7268,0.90049,0.4397,0.40323,0.37675,0.27142,1.22218,1.39109,1.04073,0.0167835,0.0055945,0.0167835,0.0055945,0.0167835,0.0055945,0.0167835,0.0055945
91,30215.6,0.98275,0.73035,0.89253,0.45759,0.39475,0.37161,0.26753,1.22179,1.41719,1.03503,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
92,30545.4,0.98811,0.73967,0.88917,0.43463,0.40854,0.37065,0.26717,1.22021,1.41097,1.04229,0.0164865,0.0054955,0.0164865,0.0054955,0.0164865,0.0054955,0.0164865,0.0054955
93,30869.2,0.96493,0.70519,0.88776,0.44568,0.40806,0.38117,0.27456,1.21801,1.40573,1.04157,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
94,31194.1,0.959,0.71435,0.89194,0.43365,0.41321,0.37771,0.27271,1.21521,1.40707,1.03335,0.0161895,0.0053965,0.0161895,0.0053965,0.0161895,0.0053965,0.0161895,0.0053965
95,31523.5,0.98125,0.73833,0.89103,0.45256,0.39378,0.37115,0.26765,1.21613,1.41105,1.04033,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
96,31850.4,0.97356,0.70427,0.88399,0.44347,0.41353,0.38299,0.2754,1.21719,1.41408,1.03828,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975
97,32179.4,0.94423,0.69853,0.89049,0.45206,0.39389,0.37333,0.26897,1.21604,1.42307,1.03934,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
98,32504.4,0.90506,0.65571,0.88855,0.44699,0.40028,0.37245,0.26973,1.21429,1.42702,1.03643,0.0155955,0.0051985,0.0155955,0.0051985,0.0155955,0.0051985,0.0155955,0.0051985
99,32831,0.95174,0.68327,0.88171,0.44895,0.41403,0.37656,0.26981,1.21529,1.41772,1.03703,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
100,33155.3,0.93934,0.68636,0.88775,0.43939,0.41834,0.38285,0.27476,1.21462,1.42062,1.03876,0.0152985,0.0050995,0.0152985,0.0050995,0.0152985,0.0050995,0.0152985,0.0050995
101,33481.6,0.92126,0.66373,0.88619,0.42097,0.41668,0.37596,0.27069,1.21731,1.443,1.04461,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
102,33807.5,0.9456,0.68127,0.88463,0.42733,0.41703,0.37499,0.27134,1.21606,1.43943,1.0412,0.0150015,0.0050005,0.0150015,0.0050005,0.0150015,0.0050005,0.0150015,0.0050005
103,34131.6,0.96523,0.69238,0.88325,0.45352,0.40045,0.37568,0.27157,1.21162,1.44354,1.04408,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
104,34460,0.94567,0.66518,0.87685,0.44729,0.40665,0.37599,0.27203,1.21556,1.43617,1.04267,0.0147045,0.0049015,0.0147045,0.0049015,0.0147045,0.0049015,0.0147045,0.0049015
105,34782.7,0.9508,0.66917,0.88175,0.43938,0.39602,0.37529,0.27281,1.2146,1.45729,1.04407,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
106,35105.3,0.93777,0.67129,0.88232,0.4464,0.39031,0.37576,0.27402,1.21314,1.44882,1.04319,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025
107,35432.5,0.92798,0.64767,0.89058,0.42462,0.40827,0.3731,0.2687,1.22044,1.45068,1.04747,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
108,35761.8,0.94546,0.6548,0.87544,0.42005,0.42361,0.37861,0.27399,1.21268,1.43579,1.04164,0.0141105,0.0047035,0.0141105,0.0047035,0.0141105,0.0047035,0.0141105,0.0047035
109,36086,0.92392,0.64978,0.87693,0.4299,0.4144,0.37662,0.2735,1.21207,1.44484,1.04163,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
